cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,clean,topic,sent_label,sent_score
UgwGGIGUJRhEIBNl8t54AaABAg,"this is not ""living forever."" It's an AI powered talking avatar which is not "" Living.""",vor 2 Jahren,@there_is_nothing_here,UCgd9bdf8acZtDOQUk4jw1OA,144,25,https://yt3.ggpht.com/ytc/AIdro_lqmp4ugLH1Xx0VBDK-N_nwKN4MorBFRuIAiKNSJI3ZAU8q=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.825195,this is not living forever its an ai powered talking avatar which is not living,0,disgust,0.639746904373169
Ugw2rSDHF_y0qFkRKDt4AaABAg,Living forever sounds like a nightmare actually,vor 2 Jahren,@justicewillprevail1106,UC_tKMe8wPUlf6d8ll_9gDLQ,180,20,https://yt3.ggpht.com/lTjStbFbpJvPUxCbgLkUlK7WJDncUqEo-g_EFO83trhxseSm7Kyln5FBJqh_CWfaprSY8RFR5Q=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.826056,living forever sounds like a nightmare actually,1,fear,0.9958135485649109
Ugw9N3Gxk_Otu4TKwvd4AaABAg,"This is like ChatGPT, with a persona.  Not the soul of a person, but data reaped from online info.",vor 2 Jahren,@BurtTheOwl,UCLuR0-LGOoJJqwwfJB5675Q,15,1,https://yt3.ggpht.com/vmcpVR0NMHLFpl0cF36TEF7uguTyOXmE8fx1HVFvxOuliZz5aWNcSi3YO5GhD2Qk5-K7YQVQxg=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.826907,this is like chatgpt with a persona not the soul of a person but data reaped from online info,0,anticipation,0.3709125816822052
UgykZg2HmwzMgnXeZSl4AaABAg,this is great i really love to be part of this moment towards enternity,vor 1 Jahr,@greatness1643,UC-ZpNVGlF8pdVDTvE5_uo7A,3,,https://yt3.ggpht.com/OvdkJdQ0zZMdzb_FiJbQKlpGjilkz4G9AFo0FM0IbaLjNrw64S-X6owJum8EBJb4wvAuxVoE=s88-c-k-c0x00ffffff-no-rj,False,False,1731323903.827777,this is great i really love to be part of this moment towards enternity,16,joy,0.9974162578582764
Ugy6HvGL2rMRdO8LA7d4AaABAg,"Anyone who wants to live forever is just too attached to the world, and that can never be a good thing",vor 2 Jahren,@scooby7877,UC3OD_8iq-FDxyZYgz1QRbTQ,181,34,https://yt3.ggpht.com/fIAcPFLv7zijQhjqiArrku6HZrt076u9PWi6DGC616sA2suEK18ny_-0pJ1FClStazEdam-CWg=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.828672,anyone who wants to live forever is just too attached to the world and that can never be a good thing,1,optimism,0.773180365562439
UgxTwt9r9Gh4UtA7jON4AaABAg,"Imagine having all those memories and watching them and feeling nothing because you've become virtual and exclusively cognizant. AI can analize it but can never convey the emotions felt.
30:37 Agreed",vor 2 Jahren (bearbeitet),@geekelly000,UCYoAbaL3F3HOGv9gm_0BH5w,14,,https://yt3.ggpht.com/ytc/AIdro_mIemturkdWxVMnTyhGAsVjfMzv-1bh1si0Vmii29d37zk=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.829557,imagine having all those memories and watching them and feeling nothing because youve become virtual and exclusively cognizant ai can analize it but can never convey the emotions felt 3037 agreed,0,sadness,0.9642297625541687
UgzKaSHN4fuYh72uuM54AaABAg,I want to live forever in Heaven with my true Creator. Everything there is perfect.,vor 2 Jahren,@candiddeclarations7364,UCgx5huf3jRtLV1AQivl0jEA,455,78,https://yt3.ggpht.com/ytc/AIdro_lI5aDxWDIVwQWn2Dun0faVxVMFYeD0rw9iq9KQ0ltN2dR9pCPWY0WuJ6rPOPQusko1-w=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.830403,i want to live forever in heaven with my true creator everything there is perfect,-1,optimism,0.970331072807312
UgzbTM1U5CrbhcFOMsl4AaABAg,The  problem  with a mind file is  it's a copy . it's not  the  original person but a copy  of that person,vor 2 Jahren,@lindatullos9430,UCdU_Rt6OSciXKGLqs_Jjm_A,1,,https://yt3.ggpht.com/ytc/AIdro_n2OmzIAZBeq10Rv6JU8yZFPV8AHmWiIYl4b3XV8BPhNw=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.833615,the problem with a mind file is its a copy its not the original person but a copy of that person,0,disgust,0.48619550466537476
UgxoyvgEfcL2x2ggJz94AaABAg,The irony is you never die. You simply leave this body. From every NDE I've ever listened to not a single one wanted to come back once they experienced how good it felt to move on.,vor 2 Jahren,@Enlightened1-v4t,UCvop7qJmlV15CMjzRZiAmaA,52,6,https://yt3.ggpht.com/MqJb0ZUJI7fOMO2Tq-GGvTEFSpsN9Y5DQQhJuYsR8t6ZBeWJA9blHjCytAr_RFMxiGN2tJZQ=s88-c-k-c0x00ffffff-no-rj,False,False,1699701503.834577,the irony is you never die you simply leave this body from every nde ive ever listened to not a single one wanted to come back once they experienced how good it felt to move on,14,sadness,0.4328748881816864
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9pk2-vMmVP8,"My friends in Canada, South America, Europe, & Africa aren't able to see this. Would you all be able to make it available to other countries?

And, thank you all for such an excellent report.",vor 2 Jahren (bearbeitet),@AlyssaSummey,UCamdk3G34HVC1gjSl7yEpDw,2,,https://yt3.ggpht.com/ytc/AIdro_mrzE4aBPC8yJNhxLpFYtUR8TODtOC2fmyH70tC3fA7eIU=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.149467,my friends in canada south america europe africa arent able to see this would you all be able to make it available to other countries and thank you all for such an excellent report,0,joy,0.9791234731674194
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9q0dnZ93p7v,I TOTALLY AGREE!!! The human heart is dark… 🖤…..ONLY Jesus can change those desires AND I WILL live forever in Eternity because I’m forgiven🌺🥺,vor 2 Jahren,@heatherredden6642,UCyfZ2JKtZJnazLiXJ5XeyYA,9,,https://yt3.ggpht.com/ytc/AIdro_m8pvlmgf_Fthfisxa_1REtoyhoF43mt1GsBeqXNb3guW4=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.152763,i totally agree the human heart is dark… 🖤…only jesus can change those desires and i will live forever in eternity because i’m forgiven🌺🥺,4,optimism,0.9856003522872925
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9q18fRQZmnX,"We all are almighty of our own self, by thoughts. It's all about science, ethics, cooperation , and will power including not harming anything",vor 2 Jahren,@nirvkPothik_Unsubdued_lonewlkr,UCRW4GsOFOQh6dpBLAIdvWgQ,2,,https://yt3.ggpht.com/EPFDu3ukh9iFn_EztNHk25TEZwmyWlb8xlQ5Z6JVUuNrkXHfTobQ-RiXa25vq87Y8F0IhDI6wA=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.15562,we all are almighty of our own self by thoughts its all about science ethics cooperation and will power including not harming anything,0,optimism,0.9953019618988037
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9q5c6WWK858,That why the world is going to be burned up this time,vor 2 Jahren,@ettrickgirl47,UCjplS0TbmkX3RDm1lSUdkWA,7,,https://yt3.ggpht.com/ytc/AIdro_mU2e0trNTHkIeh4zONEsyETGmrx_B8P8UoGso5AGMbGd0=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.160602,that why the world is going to be burned up this time,-1,fear,0.8146103620529175
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9qBfW3HqWAb,"NEIN!
me, god",vor 2 Jahren,@melaa-tm7mt,UCqpVbBGflIA8kj4p91EUyvQ,3,,https://yt3.ggpht.com/vmLzZss7LhNjl9rUKoJbg6sJupovg-J-2WcSnL-R0jfDQDPqzvywuP4sfBB-WciLZdEpzP7qLg=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.16381,nein me god,-1,sadness,0.11047930270433426
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9qv3EVk3DV1,"FYI If you don't possess massive amounts of melanin, according to science you are rendered incapable of complex thought. Just saying. Who would you rather get your science from people who have theories about everything, or people who invented everything associated with civilization and culture?",vor 2 Jahren,@benyahudadavidl,UCQDVUZXDCuHcBeXvXfK8lDA,5,,https://yt3.ggpht.com/liNNK5dQCweyjqG0zIg0szxAZ81pHdWwW5eUfSu0TtpaZuShzoUEeHJCXBoEY-Z7vuBVLE0atw=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.165776,fyi if you dont possess massive amounts of melanin according to science you are rendered incapable of complex thought just saying who would you rather get your science from people who have theories about everything or people who invented everything associated with civilization and culture,0,disgust,0.9076154828071594
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9r0ZlMcWysZ,"Living experience goes to Hollywood?why a theoretical assumption as immortality should confirm long terms of measure enchained in a material body..which anyway Is confined to lass of time...
More than that....",vor 2 Jahren,@mariapialeschiutta5431,UCKqNX-urjjBlewraqFAPFQA,2,,https://yt3.ggpht.com/ytc/AIdro_kIB5IA6ctvzva_sdiR-wLzAe7GYZepYXonq7FFVmg1fN0SLFqcdgNA01BzkaRlSJ-oHg=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.167467,living experience goes to hollywoodwhy a theoretical assumption as immortality should confirm long terms of measure enchained in a material bodywhich anyway is confined to lass of time more than that,5,anticipation,0.735093891620636
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9r2lAzuSm89,There is no option . Death is mandatory. The Bible says that the wages of sin is death but the gift of God is eternal life through Jesus Christ our Lord,vor 2 Jahren,@chris-jx1dx,UCvzNDzBMaXfhmEpTtXuIbWw,13,,https://yt3.ggpht.com/ytc/AIdro_lTymn5dUH3T6BZl0qmzkRbs8kKie1Qd2mKo-sTuPLenNptfnxwVTMJzgNGmWXaMrvhGQ=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.168731,there is no option death is mandatory the bible says that the wages of sin is death but the gift of god is eternal life through jesus christ our lord,4,optimism,0.9829694032669067
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9r5gLK04PRF,For reals 😊,vor 2 Jahren,@BeckyCrawford-k4t,UCGBGn391XWi_ND_hydZXrqA,1,,https://yt3.ggpht.com/ytc/AIdro_l5ZIbBEgwtZgFkpa5rNV02u-8Vx6YggfmL2j0PeAXobTQsCm2wmmfwdUlmilBjHqr4mA=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.170124,for reals 😊,8,joy,0.9918072819709778
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9r5gp96EHJn,"Might do both, you just never know.",vor 2 Jahren,@BeckyCrawford-k4t,UCGBGn391XWi_ND_hydZXrqA,1,,https://yt3.ggpht.com/ytc/AIdro_l5ZIbBEgwtZgFkpa5rNV02u-8Vx6YggfmL2j0PeAXobTQsCm2wmmfwdUlmilBjHqr4mA=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.603436,might do both you just never know,17,anticipation,0.9317825436592102
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9r5i22Asdyk,I think this is fascinating 😮😮😮,vor 2 Jahren,@BeckyCrawford-k4t,UCGBGn391XWi_ND_hydZXrqA,2,,https://yt3.ggpht.com/ytc/AIdro_l5ZIbBEgwtZgFkpa5rNV02u-8Vx6YggfmL2j0PeAXobTQsCm2wmmfwdUlmilBjHqr4mA=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.604958,i think this is fascinating 😮😮😮,-1,joy,0.9877098798751831
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9r5jcujz2wz,Double edged sword 🗡️🗡️🗡️,vor 2 Jahren,@BeckyCrawford-k4t,UCGBGn391XWi_ND_hydZXrqA,5,,https://yt3.ggpht.com/ytc/AIdro_l5ZIbBEgwtZgFkpa5rNV02u-8Vx6YggfmL2j0PeAXobTQsCm2wmmfwdUlmilBjHqr4mA=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.606011,double edged sword 🗡️🗡️🗡️,8,anger,0.6274998188018799
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9rRWkcK3Xa3,Me,vor 2 Jahren,@whhlife,UCg3ky8iqvBap00zbIXQKRtQ,1,,https://yt3.ggpht.com/ZCF8m_JLNtBPEZ-kjOmo4dmY7MMQ0m_b7fryzySKYXpEC7ZSBtuhw9sYu1NN4jQovQQuRZj0Fg=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.606919,me,11,sadness,0.40917477011680603
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9rgriMABb0M,​ @benyahudadavidl Facts💯,vor 2 Jahren (bearbeitet),@BlessedbytheCreator-yp8vg,UCBhHYbYTndoxkNbUrsbNjMw,2,,https://yt3.ggpht.com/ytc/AIdro_k2Z6xibrg89ceTOo7QwIhmWgTtrF_4kXgPI5mFtPQPS_pSZElk3qsj1WdP_NCQ-9WqQw=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.607797,​ benyahudadavidl facts💯,8,optimism,0.2516038715839386
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9sbfGv9L5AR,Lmao,vor 2 Jahren,@OtisLee702,UCc9_E9S83Sg2JTQcbZ9V2Mw,3,,https://yt3.ggpht.com/7Ppe9L0asPSAFVFjSbMOyVXs0clYY9Xy7pk__SKf92DrZYDDkD5uV4EmJmkK2a9GmcaqjiAdLOo=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.610025,lmao,9,joy,0.9983598589897156
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9sd4jrnuq7o,Ĝ😂😅😮e😢fu,vor 2 Jahren,@bsmileymusic,UCLMg3Y7hctpVrBXWl42rOzg,1,,https://yt3.ggpht.com/XsJkujjM03KPRIj7TgXCRzw_89dsWE4TD41R6eCeXAzydNR7Z31TQn3qy8lb8ner6eRb_yRA3g=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.611009,ĝ😂😅😮e😢fu,8,sadness,0.9726505279541016
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9smLJ6ZDUz5,"“The righteous will possess the earth, and they will live forever on it.”
Psalm 37:29

“The earth remains forever.”
Ecclesiastes 1:4

“He will wipe out every tear from their eyes, and death will be no more, neither will mourning nor outcry nor pain be anymore. The former things have passed away.”
Revelation 21:4",vor 2 Jahren,@Imperfectionist505,UCSZXqAWmOZ9einPALxD2X0g,6,,https://yt3.ggpht.com/YpKG8Q3U-WcF3i684tl3GU479FvMVXtPG4drpoJ9eznH3qTJlQzHuIiCGz4wNwBKQy1KwlQZ0A=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.611956,“the righteous will possess the earth and they will live forever on it” psalm 3729 “the earth remains forever” ecclesiastes 14 “he will wipe out every tear from their eyes and death will be no more neither will mourning nor outcry nor pain be anymore the former things have passed away” revelation 214,7,optimism,0.9828037023544312
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9sq9vjQvMFu,I don't want to be alive to machine. Just nature food.,vor 2 Jahren,@yolandagrabowski6043,UCtg3Nxz4OFb6bGl4ZJNk-aQ,2,,https://yt3.ggpht.com/ytc/AIdro_mS_CCK-QXw5Ab053XYwPFS2OCJIhM__ZIyQCZzNXZysj7xsL0hhcV-s6JSg44FmwyM0A=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.612833,i dont want to be alive to machine just nature food,-1,disgust,0.5055562853813171
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9swGaQyrXGM,Not interested in Franklinstein,vor 2 Jahren,@yolandagrabowski6043,UCtg3Nxz4OFb6bGl4ZJNk-aQ,2,,https://yt3.ggpht.com/ytc/AIdro_mS_CCK-QXw5Ab053XYwPFS2OCJIhM__ZIyQCZzNXZysj7xsL0hhcV-s6JSg44FmwyM0A=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.613768,not interested in franklinstein,-1,disgust,0.2775874137878418
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9tKkgHBwExr,"The data captured that is representative of the human consciousness or ""Mind File""....  Is nothing more than a copy of some one. That person still dies and the copy of them is nothing more than a replica of the person who passed away !       ☹",vor 2 Jahren,@matthewnelson325,UCq5AGCmR3GFgILXibbN8OFg,4,,https://yt3.ggpht.com/ytc/AIdro_kRdiwgGASa43GPYT-c3Z6MApteJOGOBXuLd7u6TpOt2CJm9iQ6p6u16RMmQYwe-Tke3g=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.614651,the data captured that is representative of the human consciousness or mind file is nothing more than a copy of some one that person still dies and the copy of them is nothing more than a replica of the person who passed away ☹,0,sadness,0.9858627915382385
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9tXMmDXwNjn,But is it in god,vor 2 Jahren,@LugendoEdward-hu7qs,UCsyTpg6w3ALuAMkAKqxYGiQ,2,,https://yt3.ggpht.com/ytc/AIdro_kGbzuHsf8CGdiFeKVM3TKi9r4JmymtqTsx0WMjsLQvZuItYdhl3_7MMdXoz9-I9Xxg9g=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.61558,but is it in god,6,anticipation,0.827046275138855
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9tdFUD0DUDJ,"nevermind the appalling violation of private thoughts, lives and privacy.. what about the issue of consent? did we consent to the use of our data, for training current and future AI? have we ever voted for the internet or voted for anything that has to do with the internet?

if our quiet thoughts are no longer ours, what else is ours at this point on?",vor 2 Jahren,@joy1ess,UCi50b13PAceoZ2xcJo8AQTw,5,,https://yt3.ggpht.com/0xYYuaBmDrA6MbH95T3_Xb4nASTcls2DwSwTFKJqeZbZq0EwCo5HSVpWkovzKPxKnLZx5p2UEA=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.616554,nevermind the appalling violation of private thoughts lives and privacy what about the issue of consent did we consent to the use of our data for training current and future ai have we ever voted for the internet or voted for anything that has to do with the internet if our quiet thoughts are no longer ours what else is ours at this point on,0,disgust,0.9526926279067993
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9twXUdsVi04,Right! We are living and striving for the afterlife. Whoever can’t see that is welcome to try to keep reviving the 70s Pinto. 🤣,vor 2 Jahren,@PhoenixFaith5,UC5dUYst7_Axe3S28LfCn9yA,1,,https://yt3.ggpht.com/YiKhdYzvQaBfm5Tt1xeCcyzMscP8CZ0alOpHlyZVlsXvLReKSj-JsVpM44qDzyHNYuvegL4j=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.617484,right we are living and striving for the afterlife whoever can’t see that is welcome to try to keep reviving the 70s pinto 🤣,0,optimism,0.8834398984909058
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9ua86B31_aR,🧠👅,vor 2 Jahren,@creativecommons.o,UCxeJaWzUFvqbwCKsz7sKs3A,0,,https://yt3.ggpht.com/SS_9U34c33RXVpsqpTNJWJIypOv7cbZmkxwQ_M7RYbp4E6QNbUNPCBk6PcjxVTa7nH2TgsIYzg=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.618362,🧠👅,8,anticipation,0.19785718619823456
UgwgMQZ6CA874N3AwRJ4AaABAg.9pgtyo1mpIn9uk4WBYFcdy, @ettrickgirl47  💥 boom!,vor 2 Jahren (bearbeitet),@hmnauthor,UCY9BRfJvZ46khXyTefYDM4g,1,,https://yt3.ggpht.com/ytc/AIdro_mWCVTgkseZK3KWaCOUPfy7Z5qYnW_WLKbOkiSXKn6u1w=s88-c-k-c0x00ffffff-no-rj,False,True,1699701504.619227,ettrickgirl47 💥 boom,-1,joy,0.4466322660446167
