cid,text,time,author,channel,votes,replies,photo,heart,reply,time_parsed,clean
Ugw4ulJnVNPbZ5TXdlx4AaABAg,"Honestly, I'd love to hear my father's voice again. Even to see him move will bring a smile to my face.",vor 1 Jahr,@jackiethestoriesofmylife,UCCxfaegSHkR_Z2cv_QR6Jgw,195,5,https://yt3.ggpht.com/ytc/AIdro_lT8Qu4LCD_pf9EwiAYpLW0gk_IeN8X9SN8VrwEe_FldWB8_Tdy3pM5DhTGCs4a8PJ_Cg=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.890618,honestly id love to hear my fathers voice again even to see him move will bring a smile to my face
UgzGCh0RC_0ZJ0u8bf14AaABAg,Prolonging grief is very mentally dangerous. I pray that this dad can find the strength to let go.,vor 1 Jahr,@Tinkerbell91280,UCQy3WjnJia51remwPdXrEXQ,99,2,https://yt3.ggpht.com/ytc/AIdro_kzzetE8z7C798toFMoWm4P_KfTbntn_Qx0Ec9uQxkckFw=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.894412,prolonging grief is very mentally dangerous i pray that this dad can find the strength to let go
UgytTRD1JCrbFZBwMKZ4AaABAg,"How many tears did we cry for this one? 😢

Edit: I lost my dad 25yrs ago due to cancer and during his last day in our home whilst being moved from a wheelchair to the car I said goodbye to him but he never replied. He knew he was going to die the next day. I still haven't moved on completely from the pain of his passing. Thinking about this app I'm not sure if it will give me closure to rebuild him and say his last goodbye to me. It's still terribly painful.",vor 1 Jahr (bearbeitet),@selainadream,UCO0XrD_8SR-a8M7s-daYWAA,108,5,https://yt3.ggpht.com/fMKpD_jWLEYp_P81lsJgNjejEEH7VOPInp2F7bVgv3t1RJYHhF07YsbnexJd8KhylP-mfXda=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.898541,how many tears did we cry for this one 😢 edit i lost my dad 25yrs ago due to cancer and during his last day in our home whilst being moved from a wheelchair to the car i said goodbye to him but he never replied he knew he was going to die the next day i still havent moved on completely from the pain of his passing thinking about this app im not sure if it will give me closure to rebuild him and say his last goodbye to me its still terribly painful
Ugz9ytpIa_UjHSzSRdF4AaABAg,"It's a sweet sentiment, don't misunderstand, and it could work for people who needs closure or anything within that range. However, if I saw my grandfather speak to me again through AI, it would rub me the wrong way entirely.",vor 1 Jahr,@TreyMcDonaldAnimator,UCBeIDUMML52BO46Wjc0xBhQ,24,,https://yt3.ggpht.com/SRUiBqNWFPW7pa3CxM05M8fl98Ww_2rQn3dAgvaW9e6v6TAf-aGwcq1kEX6xFpDvl2NRESDh=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.903319,its a sweet sentiment dont misunderstand and it could work for people who needs closure or anything within that range however if i saw my grandfather speak to me again through ai it would rub me the wrong way entirely
UgzrgYaO74AL23poAH94AaABAg,This is why I have hours and hours if family videos. It gives me something to look back on the good times,vor 1 Jahr,@SchardtCinematic,UCo0Hi8513sIjOPqNGHASEyw,46,,https://yt3.ggpht.com/ytc/AIdro_k4XGlCpH2VtfRabCN1MAgbxubyWJ5cLAy-SekCeSZW2UQ=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.906362,this is why i have hours and hours if family videos it gives me something to look back on the good times
UgwBy7KgQe9qeHEGyfV4AaABAg,I don't think any of us can judge this father unless we were in his shoes. Less judgement more love. That's what we need.,vor 1 Jahr,@marylinda,UCCdI-454pGTx4q3GRCfN2VA,715,19,https://yt3.ggpht.com/ytc/AIdro_nHsJswNayLGT_xFvRUy0UWbCVHGKDh5jLm-sqwBNXps3cG=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.909254,i dont think any of us can judge this father unless we were in his shoes less judgement more love thats what we need
UgzmYXaVPQpWGURKxTx4AaABAg,"This feels like trapping someone's soul in a digital space. Not really, but it feels that way.",vor 1 Jahr,@sirbeerus6987,UCLL-vuXqZ3D0_H5UhtKbdSw,13,,https://yt3.ggpht.com/ytc/AIdro_kVuoKM1_ivkkXBHicHhRgzUgadkuSLDPa8UyLUjSPnv44=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.914421,this feels like trapping someones soul in a digital space not really but it feels that way
UgznSkrPKyhVtvnERzN4AaABAg,I might be even sadder.  Moving on is probably better.,vor 1 Jahr,@ltlwatcher,UCBJ-deV3jlRlrmOyg8pg-oA,22,,https://yt3.ggpht.com/-Nl_-Omf4RO7B_qU-az7JUrWZE0wtipRuTSvMIAJ_aLOHwTYdB2kjvw58Duc1egzzf9y9USZZw=s88-c-k-c0x00ffffff-no-rj,False,False,1731410529.921384,i might be even sadder moving on is probably better
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA98CuvhULBd,I was just thinking the same thing.  This will open the door for a differnt set of emotions that people may not be able to process.,vor 1 Jahr,@kamaka07,UC-52u6G3xT5Ry24nc1ZdXaQ,31,,https://yt3.ggpht.com/ytc/AIdro_lU5WS0OOn5CxUREggxx7TmI5-4qw6fLnMt1WFilqydrDs=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.33315,i was just thinking the same thing this will open the door for a differnt set of emotions that people may not be able to process
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9ECr0__kVS,"What you just said isnt the problem with the tech, it's the problem with the people who think there is a problem with the tech. For people who want to use it, they should be able to use it. For people that dont want to use it. Don't use it. Don't push your own beliefs onto others.",vor 1 Jahr,@TanukiMiyazaki,UCSZBKZqEWW3eMWCQulLwYuQ,12,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.336101,what you just said isnt the problem with the tech its the problem with the people who think there is a problem with the tech for people who want to use it they should be able to use it for people that dont want to use it dont use it dont push your own beliefs onto others
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9EoZExV7Lm,"​ @TanukiMiyazaki  are you talking to me as the original poster or one of the responses? If you are talking to me let me inform you that I build and am involved in this kind of tech also and am every much in this industry . I have even considered the same idea's he has to bring back a digital form of someone that has passed. If you understand the tech and have the compute resources/funds it isn't super difficult, So being in this industry I HAVE to know and consider the impacts of the things I/we build and bring into this world. I have no idea from what I wrote where you think I am pushing my beliefs on anyone, other then pointing out a problem it may cause in the future. In cases where you bring something into the world you need to consider its impacts on people and consider both the benefits and new problems and challenges it may cause, considering problems does not constitute  ""pushing beliefs"" on anyone. Pointing out smoking as a problem doesn't constitute as me telling you to not smoke LOL, you can smoke as much as you like , but pointing it out as a problem and having a discussion over why or how to fix it is completely valid. I guess people are to sensitive these days and can't have discussions and debates like we used to be able to without talking about personal beliefs and such 🤣We never had discussions about social media when it was released and now look at the impact it is having on kids and their minds. We only realise it 2 decades after it was developed, we should learn from this mistake. Imagine the impact on minds this technology can have if it isnt correctly delivered . It could have an impact on birth rates, it could have deeper mental impacts that cause people to not have natural partners and if its large enough it could affect the human race as a whole (in unexpected ways) just like social media has.",vor 1 Jahr (bearbeitet),@sia.b6184,UCA9lsW-l5pXfitJWnWaCaKw,5,,https://yt3.ggpht.com/ytc/AIdro_m7vvjNchNcvsqB_HbqBbPYfOXDtfrEP4pkhBV1KkbfSGt5=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.339238,​ tanukimiyazaki are you talking to me as the original poster or one of the responses if you are talking to me let me inform you that i build and am involved in this kind of tech also and am every much in this industry i have even considered the same ideas he has to bring back a digital form of someone that has passed if you understand the tech and have the compute resourcesfunds it isnt super difficult so being in this industry i have to know and consider the impacts of the things iwe build and bring into this world i have no idea from what i wrote where you think i am pushing my beliefs on anyone other then pointing out a problem it may cause in the future in cases where you bring something into the world you need to consider its impacts on people and consider both the benefits and new problems and challenges it may cause considering problems does not constitute pushing beliefs on anyone pointing out smoking as a problem doesnt constitute as me telling you to not smoke lol you can smoke as much as you like but pointing it out as a problem and having a discussion over why or how to fix it is completely valid i guess people are to sensitive these days and cant have discussions and debates like we used to be able to without talking about personal beliefs and such 🤣we never had discussions about social media when it was released and now look at the impact it is having on kids and their minds we only realise it 2 decades after it was developed we should learn from this mistake imagine the impact on minds this technology can have if it isnt correctly delivered it could have an impact on birth rates it could have deeper mental impacts that cause people to not have natural partners and if its large enough it could affect the human race as a whole in unexpected ways just like social media has
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9Eqs-9oUi8, @sia.b6184  you’re in the industry? 😂 is the suppose to mean something special?   What does being in the industry have to do with “the problem with tech is not everyone will see it this way” people seeing it differently is not the problem of AI. That is each and every individual personal belief. You dont sound like you’re in the industry judging by that statement alone. Or are barely grasping the technology. What are you an entry level IT Associate? or are you speaking of in a broader term of the AI industry that uses it? Of course you have e to consider the impacts.  You think that only applies to AI? That’s pretty every industry. 🤣😂 people have different beliefs on a lot of things. That in itself is not the problem. lol when you alter a factual information using AI and try to pass it off as truth. That is a problem. Not simply because others disagree with the usage of AI like this guy.,vor 1 Jahr,@TanukiMiyazaki,UCSZBKZqEWW3eMWCQulLwYuQ,1,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.342175,siab6184 you’re in the industry 😂 is the suppose to mean something special what does being in the industry have to do with “the problem with tech is not everyone will see it this way” people seeing it differently is not the problem of ai that is each and every individual personal belief you dont sound like you’re in the industry judging by that statement alone or are barely grasping the technology what are you an entry level it associate or are you speaking of in a broader term of the ai industry that uses it of course you have e to consider the impacts you think that only applies to ai that’s pretty every industry 🤣😂 people have different beliefs on a lot of things that in itself is not the problem lol when you alter a factual information using ai and try to pass it off as truth that is a problem not simply because others disagree with the usage of ai like this guy
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9Er8a3pKJm," @sia.b6184  come to think of it, you definitely aren’t in the industry of coding AI, let alone lot grasping it enough to properly use it. 😂 you sound too preach to be someone in the industry. Just because you’d be watched a lot of YouTube videos about it doesn’t mean you’re in the industry 🥴",vor 1 Jahr,@TanukiMiyazaki,UCSZBKZqEWW3eMWCQulLwYuQ,1,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.34561,siab6184 come to think of it you definitely aren’t in the industry of coding ai let alone lot grasping it enough to properly use it 😂 you sound too preach to be someone in the industry just because you’d be watched a lot of youtube videos about it doesn’t mean you’re in the industry 🥴
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9ErgSOLZaz," @sia.b6184  you know how I know you aren’t in the industry? Because  prior a few months ago, I used to work with AI for a well known company before changing positions. And i still use the AI tech that I help maintain but I digress. My point is people having different opinions and beliefs of AI is not the problem. Try again. 😭🤣",vor 1 Jahr (bearbeitet),@TanukiMiyazaki,UCSZBKZqEWW3eMWCQulLwYuQ,1,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.349383,siab6184 you know how i know you aren’t in the industry because prior a few months ago i used to work with ai for a well known company before changing positions and i still use the ai tech that i help maintain but i digress my point is people having different opinions and beliefs of ai is not the problem try again 😭🤣
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9F1_sGVrPP," @TanukiMiyazaki  1) you assume that i was preaching something when i wasnt is fool move number 1 , it shows the level of mind that you have that you think people cant have ideas or considerations when developing something

2) fool move number 2 is you assume you know something about someone on the internet and you assume that by using AI for a well known company that means that you can guess something about me. I literally just showed your comment to people next to me who know what I do and they are laughing lol. (thanks for the comic relief this afternoon) 😆

now facts, I literally just finished training a model 2 months ago within the manufacturing industry to do the work of 300 people. They are now without a job and in the process of being redundant because of this new peice of tech being deployed. It isnt in USA or Australia or Canada it is in a developing country where firing people is easy. Now those people don't have a job and cant feed their families. The manufacturing company will save alot, make more money but those people who have been told prior to this final few releases know whats up, I know what the impact of my work is, specially in certain regions and industries were this AI technologu is having a big effect .. your just a fool for making random assumptions",vor 1 Jahr (bearbeitet),@sia.b6184,UCA9lsW-l5pXfitJWnWaCaKw,1,,https://yt3.ggpht.com/ytc/AIdro_m7vvjNchNcvsqB_HbqBbPYfOXDtfrEP4pkhBV1KkbfSGt5=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.352328,tanukimiyazaki 1 you assume that i was preaching something when i wasnt is fool move number 1 it shows the level of mind that you have that you think people cant have ideas or considerations when developing something 2 fool move number 2 is you assume you know something about someone on the internet and you assume that by using ai for a well known company that means that you can guess something about me i literally just showed your comment to people next to me who know what i do and they are laughing lol thanks for the comic relief this afternoon 😆 now facts i literally just finished training a model 2 months ago within the manufacturing industry to do the work of 300 people they are now without a job and in the process of being redundant because of this new peice of tech being deployed it isnt in usa or australia or canada it is in a developing country where firing people is easy now those people dont have a job and cant feed their families the manufacturing company will save alot make more money but those people who have been told prior to this final few releases know whats up i know what the impact of my work is specially in certain regions and industries were this ai technologu is having a big effect your just a fool for making random assumptions
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9F2CCcXmx2," @TanukiMiyazaki  plus this .."" coding AI"" lol, you don't code AI you train models by cleaning your input data or modifing them the way you need them trained.  Then you infer against that model using standard non AI related code. The training process is the hardest, No AI is ""coded"" as you had stated in your comment 🤣. Please stop, every second you type is making you look silly.

""My point is people having different opinions and beliefs of AI is not the problem."" 🤣  

Who said that was a problem, opinions aren't the issue, people can have whatever opinions they want, the issue is when people start to think their AI is actually their real loved one and it affects their actual mental state, their work and people around them, thats when you have the problem lol. 

""the problem with tech is not everyone will see it this way”

Did you not see the context it was used in, it was used in the context of the father. He realised that it was AI and understands its not his daughter. Other users may not see this distinction and this will cause a whole host of mental issues that are currently not fully clear. 

If you have a broad opinion on it, have whatever opinion you want. This is related to the effects on users and their reactions to this tech.

""you’re in the industry? 😂 is the suppose to mean something special?""

Yes it does, it means you know the problems intimately, it means you see the effects before anyone elses sees them. As I said earlier, my latest project will soon get 300 factory workers fired and out of a job since their jobs are no longer needed given the new vision technology we just built. These people need to go off and find new jobs. It isnt my problem that they are out of a job, but its an example of a problem that will be everyone's problem as the tech keeps getting better. Personally, I think people should retrain and aclimate themselves with this tech but its not going to be easy for everyone. This is just one of a whole host of problems that needs to be solved or at least been made aware of. Governments have to prepare otherwise you have a whole generation/group of people mooching of social security, homeless and jobless and that affects everyone , it affects taxes we pay and the economy as a whole. I know your brain probably doesnt get this far in how it thinks but at least its clear to you now ... right ... If youre in the industry you see things sooner (simple as that).

Why do you think congress is bringing up and asking openAI, google and other large players to discuss these potential problems and issues. Brining back the dead via gen AI has a whole host of things to consider, have whatever opionions you want about it I don't care, but seriously ... who the f*ck is preaching here ? Simply bringing up discussion points, but guess the internet is full of different levels of intelligence  .. 😆

If i had it my way, id rather we let this technology go wild and let everyone use it unflitered. But it doesn't mean I think its going to be smooth and not cause any impacts or problems at a wider scale.",vor 1 Jahr (bearbeitet),@sia.b6184,UCA9lsW-l5pXfitJWnWaCaKw,1,,https://yt3.ggpht.com/ytc/AIdro_m7vvjNchNcvsqB_HbqBbPYfOXDtfrEP4pkhBV1KkbfSGt5=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.355252,tanukimiyazaki plus this coding ai lol you dont code ai you train models by cleaning your input data or modifing them the way you need them trained then you infer against that model using standard non ai related code the training process is the hardest no ai is coded as you had stated in your comment 🤣 please stop every second you type is making you look silly my point is people having different opinions and beliefs of ai is not the problem 🤣 who said that was a problem opinions arent the issue people can have whatever opinions they want the issue is when people start to think their ai is actually their real loved one and it affects their actual mental state their work and people around them thats when you have the problem lol the problem with tech is not everyone will see it this way” did you not see the context it was used in it was used in the context of the father he realised that it was ai and understands its not his daughter other users may not see this distinction and this will cause a whole host of mental issues that are currently not fully clear if you have a broad opinion on it have whatever opinion you want this is related to the effects on users and their reactions to this tech you’re in the industry 😂 is the suppose to mean something special yes it does it means you know the problems intimately it means you see the effects before anyone elses sees them as i said earlier my latest project will soon get 300 factory workers fired and out of a job since their jobs are no longer needed given the new vision technology we just built these people need to go off and find new jobs it isnt my problem that they are out of a job but its an example of a problem that will be everyones problem as the tech keeps getting better personally i think people should retrain and aclimate themselves with this tech but its not going to be easy for everyone this is just one of a whole host of problems that needs to be solved or at least been made aware of governments have to prepare otherwise you have a whole generationgroup of people mooching of social security homeless and jobless and that affects everyone it affects taxes we pay and the economy as a whole i know your brain probably doesnt get this far in how it thinks but at least its clear to you now right if youre in the industry you see things sooner simple as that why do you think congress is bringing up and asking openai google and other large players to discuss these potential problems and issues brining back the dead via gen ai has a whole host of things to consider have whatever opionions you want about it i dont care but seriously who the fck is preaching here simply bringing up discussion points but guess the internet is full of different levels of intelligence 😆 if i had it my way id rather we let this technology go wild and let everyone use it unflitered but it doesnt mean i think its going to be smooth and not cause any impacts or problems at a wider scale
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9FJrnVDjZp, @sia.b6184  TLDR. 🤣😂 if you can’t be concise and have to write a whole novel to reply to what we’re talking about: “the problem with this tech is not everyone will see it this way”there’s a high probability you’re just saying a bunch of 💩🗑️🥴  I’m pretty sure you deflected and started veering off to different topics that isn’t related to this to make yourself look clever. Am I right? 🤣😂😭😂,vor 1 Jahr,@TanukiMiyazaki,UCSZBKZqEWW3eMWCQulLwYuQ,1,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.358289,siab6184 tldr 🤣😂 if you can’t be concise and have to write a whole novel to reply to what we’re talking about “the problem with this tech is not everyone will see it this way”there’s a high probability you’re just saying a bunch of 💩🗑️🥴 i’m pretty sure you deflected and started veering off to different topics that isn’t related to this to make yourself look clever am i right 🤣😂😭😂
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9FNo5wYnBe,"​ @TanukiMiyazaki  umm, you are the one who wrote 3  post with a lot of crap in there and I responded 😆 (I guess small brain short memory) , if responding is considered clever to you then ok  🤣,  esssentially that is how the comments section goes, I hope you understand that, someone writes and someone responds. ive had long and fruitful back and forth with people who actually do(can) read about everything from politics to math and they are fun, I guess youre not fun then. However you commenting when you haven't read the posts is pretty hilarious, if you can't take it don't instigate. I read all three of your silly posts and all I did was respond to them one by one, if you didn't bring them up, I wouldnt have responded. Either way if youre gonna stop now cause you can't respond to the points of which you brought up yourself thats great, I hope it means youre done and can understand just where you stand in this argument and on this topic, if youre going to be picking points in peoples comments without understanding them, be ready for people to response and make you look like a fool .. I guess you know your place now, am I right 😉",vor 1 Jahr (bearbeitet),@sia.b6184,UCA9lsW-l5pXfitJWnWaCaKw,0,,https://yt3.ggpht.com/ytc/AIdro_m7vvjNchNcvsqB_HbqBbPYfOXDtfrEP4pkhBV1KkbfSGt5=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.360977,​ tanukimiyazaki umm you are the one who wrote 3 post with a lot of crap in there and i responded 😆 i guess small brain short memory if responding is considered clever to you then ok 🤣 esssentially that is how the comments section goes i hope you understand that someone writes and someone responds ive had long and fruitful back and forth with people who actually docan read about everything from politics to math and they are fun i guess youre not fun then however you commenting when you havent read the posts is pretty hilarious if you cant take it dont instigate i read all three of your silly posts and all i did was respond to them one by one if you didnt bring them up i wouldnt have responded either way if youre gonna stop now cause you cant respond to the points of which you brought up yourself thats great i hope it means youre done and can understand just where you stand in this argument and on this topic if youre going to be picking points in peoples comments without understanding them be ready for people to response and make you look like a fool i guess you know your place now am i right 😉
UgzKmLjPTCBINQbYUQl4AaABAg.A8kZXfun3loA9HHbnnctNs," @sia.b6184  I just read the first sentence. And for some reason you keep glazing over the main thing: ""The problem with this tech is not everyone will see it this way"" lol  you keep wasting your time with these long replies 👏👏😂",vor 1 Jahr,@TanukiMiyazaki,UCSZBKZqEWW3eMWCQulLwYuQ,0,,https://yt3.ggpht.com/ytc/AIdro_m-BQ9cHAlq1jZsVv0311NimqUYlE4g7_EsWTQQtm7eQuBVngvypJrk2Wkalb5TxAxiCQ=s88-c-k-c0x00ffffff-no-rj,False,True,1731410530.751092,siab6184 i just read the first sentence and for some reason you keep glazing over the main thing the problem with this tech is not everyone will see it this way lol you keep wasting your time with these long replies 👏👏😂
